Spindle speed (rpm),Cutting speed (mm/min),Feed rate (mm/min),Depth of cut (mm),Surface roughness (Ra)
600,94.24,200,0.15,0.4166
800,125.66,200,0.15,0.3566
1000,157.07,200,0.15,0.34
1200,188.49,200,0.15,0.3
1500,235.61,200,0.15,0.2566
1700,267.03,200,0.25,0.22
1700,267.03,200,0.45,1.1566
1700,267.03,200,0.6,1.3
1700,267.03,200,0.85,1.3933
1700,267.03,200,1,1.4533
2000,314.15,50,0.15,0.3166
2000,314.15,150,0.15,0.5266
2000,314.15,250,0.15,0.6066
2000,314.15,350,0.15,0.6333
2000,314.1,500,0.15,0.6933
